DEPT,TENS,BHVT,AHVT,BS,GR,CALI,RHOB,NPHI,LLD,LLS,MSFL,SP,DHTN
8454,1318.0292,1081.1764,416.6937,12.25,84.8733,12.2922,2.3519,34.5891,2.5188,2.1253,1.7719,127.0079,1634.4694
8454.25,1313.6816,1080.7642,416.5342,12.25,84.8733,12.3513,2.3655,34.5891,2.5188,2.1253,1.7199,127.6736,1633.745
8454.5,1310.9401,1080.7642,416.5342,12.25,88.5971,12.3513,2.3655,35.8509,2.1898,1.8668,1.7199,127.6736,1633.745
8454.75,1311.3304,1080.3486,416.3712,12.25,88.5971,12.3541,2.3941,35.8509,2.1898,1.8668,1.6286,127.9625,1633.745
8455,1311.7209,1080.3486,416.3712,12.25,89.1533,12.3541,2.3941,32.9434,1.9742,1.6734,1.6286,127.9625,1633.745
8455.25,1314.9594,1079.9347,416.21,12.25,89.1533,12.3128,2.3999,32.9434,1.9742,1.6734,1.3023,127.5779,1617.8091
8455.5,1318.6858,1079.9347,416.21,12.25,93.4655,12.3128,2.3999,33.6315,1.8645,1.7898,1.3023,127.5779,1617.8091
8455.75,1322.9269,1079.5195,416.0474,12.25,93.4655,12.3706,2.3923,33.6315,1.8645,1.7898,1.0747,127.8379,1626.1393
8456,1323.6544,1079.5195,416.0474,12.25,99.8975,12.3706,2.3923,39.2683,1.6981,1.5765,1.0747,127.8379,1626.1393
8456.25,1324.4352,1079.1023,415.8827,12.25,99.8975,12.3706,2.3797,39.2683,1.6981,1.5765,1.134,128.0414,1626.1393
8456.5,1324.5682,1079.1023,415.8827,12.25,98.7207,12.3706,2.3797,42.2586,1.6123,1.4397,1.134,128.0414,1627.9502
8456.75,1324.8256,1078.687,415.7199,12.25,98.7207,12.317,2.3587,42.2586,1.6123,1.4397,1.1435,128.91,1627.9502
8457,1322.8647,1078.687,415.7199,12.25,98.7932,12.317,2.3587,42.2687,1.6529,1.5088,1.1435,128.91,1652.2161
8457.25,1320.5934,1078.2734,415.559,12.25,98.7932,12.2908,2.3429,42.2687,1.6529,1.5088,1.2755,129.0682,1652.2161
8457.5,1319.99,1078.2734,415.559,12.25,103.2505,12.2908,2.3429,38.666,1.7324,1.4629,1.2755,129.0682,1652.2161
8457.75,1320.7797,1077.8616,415.3998,12.25,103.2505,12.2881,2.3496,38.666,1.7324,1.4629,1.3181,130.2346,1652.2161
8458,1321.4008,1077.8616,415.3998,12.25,101.6223,12.2881,2.3496,35.0137,1.8594,1.5941,1.3181,130.2346,1645.3346
8458.25,1322.1461,1077.4487,415.2397,12.25,101.6223,12.3376,2.3632,35.0137,1.8594,1.5941,1.6338,130.28,1645.3346
8458.5,1322.4744,1077.4487,415.2397,12.25,98.229,12.3376,2.3632,36.2042,2.097,1.7936,1.6338,130.28,1638.0911
8458.75,1321.8,1077.033,415.0766,12.25,98.229,12.3788,2.3501,36.2042,2.097,1.7936,1.7386,130.4339,1638.0911
8459,1321.6403,1077.033,415.0766,12.25,98.1645,12.3788,2.3501,35.4801,2.2957,2.0669,1.7386,130.4339,1638.0911
8459.25,1322.7228,1076.6139,414.9102,12.25,98.1645,12.4256,2.322,35.4801,2.2957,2.0669,1.736,131.4461,1644.6104
8459.5,1324.2489,1076.6139,414.9102,12.25,101.9609,12.4256,2.322,33.556,2.4814,2.1815,1.736,131.4461,1644.6104
8459.75,1325.6151,1076.1902,414.7392,12.25,101.9609,12.5026,2.3057,33.556,2.4814,2.1815,1.5658,132.1379,1643.5238
8460,1328.7383,1076.1902,414.7392,12.25,104.5401,12.5026,2.3057,32.5064,2.465,2.1019,1.5658,132.1379,1643.5238
8460.25,1330.3176,1075.7627,414.5643,12.25,104.5401,12.6044,2.2937,32.5064,2.465,2.1019,1.1986,131.96,1643.5238
8460.5,1329.5103,1075.7627,414.5643,12.25,104.1693,12.6044,2.2937,33.7296,2.3304,1.8341,1.1986,131.96,1659.0975
